Spot brightness,Day,Substrate,Predator,Predator number,Additional R.hartii,Starting food
10,0,3,NULL,0,0,51
7,0,3,NULL,0,0,51
8,0,3,NULL,0,0,51
9,0,3,NULL,0,0,51
6,0,3,NULL,0,0,51
4,0,3,NULL,0,0,51
14,0,3,NULL,0,0,51
11,0,3,NULL,0,0,51
7,0,3,NULL,0,0,51
7,0,3,NULL,0,0,51
13,0,3,NULL,0,0,51
12,0,3,NULL,0,0,51
9,0,3,NULL,0,0,51
12,0,3,NULL,0,0,51
8,0,3,NULL,0,0,51
11,0,3,NULL,0,0,51
10,0,3,NULL,0,0,51
11,0,3,NULL,0,0,51
9,0,3,NULL,0,0,51
9,0,3,NULL,0,0,51
9,0,3,NULL,0,0,51
10,0,3,NULL,0,0,51
15,0,3,NULL,0,0,51
11,0,3,NULL,0,0,51
10,0,3,NULL,0,0,51
13,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
11,253,3,NULL,0,0,51
19,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
17,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
18,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
10,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
17,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
18,253,3,NULL,0,0,51
12,253,3,NULL,0,0,51
11,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
17,253,3,NULL,0,0,51
17,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
19,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
13,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
14,253,3,NULL,0,0,51
16,253,3,NULL,0,0,51
15,253,3,NULL,0,0,51
17,504,3,NULL,0,0,51
